類別,廠商,品項,,,,,,,,,
肉類,裕賀,牛五花,,,,,,,,,
肉類,裕賀,頂級牛腿肉,,,,,,,,,
肉類,裕賀,牛舌,,,,,,,,,
肉類,亞多夢,豬五花,,,,,,,,,
肉類,亞多夢,豬梅花,,,,,,,,,
肉類,亞多夢,一般橫膈膜,,,,,,,,,
肉類,亞多夢,和牛牛腿肉,,,,,,,,,
肉類,亞多夢,和牛牛背肩,,,,,,,,,
肉類,亞多夢,和牛橫膈膜,,,,,,,,,
肉類,泰立富,雞腿肉,,,,,,,,,
肉類,億傑,松阪豬,,,,,,,,,
肉類,泰立富,雞頸肉,,,,,,,,,
蔬菜,忠欣,櫛瓜,,,,,,,,,
蔬菜,忠欣,美生菜,,,,,,,,,
蔬菜,忠欣,小黃瓜,,,,,,,,,
蔬菜,忠欣,檸檬,,,,,,,,,
蔬菜,雄泉,燒肉包菜,,,,,,,,,
蔬菜,忠欣,山藥,,,,,,,,,
蔬菜,忠欣,青椒,,,,,,,,,
蔬菜,忠欣,玉米筍,,,,,,,,,
乾貨,美食家,越光米,,,,,,,,,
乾貨,美食家,海帶芽,,,,,,,,,
乾貨,美食家,海藻,,,,,,,,,
乾貨,美食家,海苔,,,,,,,,,
乾貨,美食家,溫泉蛋,,,,,,,,,
乾貨,美食家,鹽巴,,,,,,,,,
乾貨,美食家,蔬菜醬,,,,,,,,,
